instance_id,project,target_stable_branch,change_id,master_patch_url,stable_backport_url,same_files_modified,file_overlap_ratio,files_only_in_master,files_only_in_stable,master_lines_added,master_lines_removed,stable_lines_added,stable_lines_removed,diff_size_ratio,days_to_backport,only_iac,has_explicit_tests,master_patchsets,master_human_messages,master_human_reviewers,master_review_duration_days,master_review_hours,master_ci_failures,master_human_negative_votes,master_api_status,bp_patchsets,bp_human_messages,bp_human_reviewers,bp_review_duration_days,bp_review_hours,bp_ci_failures,bp_human_negative_votes,bp_api_status,backport_type
openstack-openstack-ansible-rabbitmq_server-stable-2024.2-I3c2751d,openstack/openstack-ansible-rabbitmq_server,stable/2024.2,I3c2751da86492c8659252cf5d7b691ce2cc111cf,https://review.opendev.org/c/openstack/openstack-ansible-rabbitmq_server/+/940963,https://review.opendev.org/c/openstack/openstack-ansible-rabbitmq_server/+/940964,True,1.0,,,10,0,10,0,1.0,1,True,False,3,7,3,24.34,584.22,4,0,ok,2,3,3,25.98,623.61,2,0,ok,Clean
openstack-openstack-ansible-lxc_hosts-stable-2024.2-Ie5b0f21,openstack/openstack-ansible-lxc_hosts,stable/2024.2,Ie5b0f215cceb8e8002b75543f4050042732525a7,https://review.opendev.org/c/openstack/openstack-ansible-lxc_hosts/+/942812,https://review.opendev.org/c/openstack/openstack-ansible-lxc_hosts/+/945229,True,1.0,,,5,1,4,1,0.8333,18,False,False,1,3,4,5.1,122.34,0,0,ok,3,1,1,0.23,5.51,0,0,ok,Modified
openstack-openstack-ansible-haproxy_server-stable-2024.2-I4835505,openstack/openstack-ansible-haproxy_server,stable/2024.2,I483550527b37276a7742ca116b7366bbd0b05875,https://review.opendev.org/c/openstack/openstack-ansible-haproxy_server/+/940961,https://review.opendev.org/c/openstack/openstack-ansible-haproxy_server/+/940962,True,1.0,,,2,2,2,2,1.0,6,True,False,2,4,2,18.11,434.54,3,0,ok,2,2,1,24.32,583.75,3,0,ok,Clean
openstack-kayobe-stable-2024.1-I73e7f2a,openstack/kayobe,stable/2024.1,I73e7f2a3258e5427ec16b01e7482093d7bfb33f8,https://review.opendev.org/c/openstack/kayobe/+/940646,https://review.opendev.org/c/openstack/kayobe/+/943228,True,1.0,,,55,5,55,5,1.0,26,False,True,6,17,3,3.73,89.43,13,0,ok,1,3,8,1.11,26.56,1,0,ok,Clean
openstack-kayobe-stable-2024.2-I73e7f2a,openstack/kayobe,stable/2024.2,I73e7f2a3258e5427ec16b01e7482093d7bfb33f8,https://review.opendev.org/c/openstack/kayobe/+/940646,https://review.opendev.org/c/openstack/kayobe/+/942137,True,1.0,,,55,5,55,5,1.0,17,False,True,6,17,3,3.73,89.43,13,0,ok,1,3,8,5.88,141.17,1,0,ok,Clean
openstack-kayobe-stable-2024.1-I4e0fd32,openstack/kayobe,stable/2024.1,I4e0fd325e2ceb698f1f959bc060b68bd629750e0,https://review.opendev.org/c/openstack/kayobe/+/931708,https://review.opendev.org/c/openstack/kayobe/+/942630,True,1.0,,,30,1,30,1,1.0,26,False,False,1,11,4,115.84,2780.21,6,0,ok,1,3,3,2.89,69.24,1,0,ok,Clean
openstack-kayobe-stable-2024.2-I4e0fd32,openstack/kayobe,stable/2024.2,I4e0fd325e2ceb698f1f959bc060b68bd629750e0,https://review.opendev.org/c/openstack/kayobe/+/931708,https://review.opendev.org/c/openstack/kayobe/+/940869,True,1.0,,,30,1,30,1,1.0,16,False,False,1,11,4,115.84,2780.21,6,0,ok,1,4,3,11.19,268.58,2,0,ok,Clean
openstack-puppet-nova-stable-2024.1-I7997067,openstack/puppet-nova,stable/2024.1,I7997067800f0e1f6563e164f8c02a15680b3aa9b,https://review.opendev.org/c/openstack/puppet-nova/+/940795,https://review.opendev.org/c/openstack/puppet-nova/+/940946,True,1.0,,,29,0,29,0,1.0,5,False,False,1,2,2,1.1,26.34,2,0,ok,1,2,2,5.27,126.4,1,0,ok,Clean
openstack-puppet-nova-stable-2024.2-I7997067,openstack/puppet-nova,stable/2024.2,I7997067800f0e1f6563e164f8c02a15680b3aa9b,https://review.opendev.org/c/openstack/puppet-nova/+/940795,https://review.opendev.org/c/openstack/puppet-nova/+/940945,True,1.0,,,29,0,29,0,1.0,2,False,False,1,2,2,1.1,26.34,2,0,ok,1,3,2,2.3,55.09,2,0,ok,Clean
openstack-kayobe-stable-2024.2-I6c06eef,openstack/kayobe,stable/2024.2,I6c06eef29166fcd738c22505408980b9246fbd0b,https://review.opendev.org/c/openstack/kayobe/+/940539,https://review.opendev.org/c/openstack/kayobe/+/941931,True,1.0,,,5,0,5,0,1.0,17,True,False,2,4,1,0.8,19.19,2,0,ok,1,4,8,1.15,27.52,1,0,ok,Clean
